"EDR140187";"Textus secundum (1); periit (HGP).<br>Contulerunt sed non invenerunt Benefiel, Helms, Sypniewski (HGP) a. 2016."
"EDR140224";"Textus et mensurae secundum (1), lapsu tectorii periit (2) <br>vv. 1-2: II scriptum pro littera E<br>v. 2: tributus est titulo 10534, nam illius littera S extra eadem est ac littera, qua hic incipit SALVTEM (2).<br>Prope EDR140213, EDR140217, EDR140219, EDR140221, EDR140223, EDR140226, EDR140237, EDR140232, EDR140233 "
"EDR140669";"Textus secundum (1) (3), contulerunt et mensuras prehenderunt Hicks, Rebman, Rasmussen, Nyhuis, Helms (HGP) a. 2014.<br>v. 1: RUFULA PUS, Cipriotti apud (2), qui potius &#931; ad Hor. S. 1.7.1 de usu PUS confert; litterae VL in nexu (3).<br>Prope EDR159866 et EDR159867"
"EDR140037";"Textus et mensurae secundum (1), contulit ad imaginem in (2) Lundqvist a. 2014<br>"
"EDR140055";"Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, Lundquist a. 2014. Supra EDR140136 et EDR140246.<br>v. 1: 30 tally marks in total, all connected with a lengthy underline."
"EDR140125";"Textus secundum (1), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer (HGP) a. 2014.<br>Prope EDR140124, EDR140129, EDR140146"
"EDR140129";"Textus secundum (1), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer (HGP) a. 2014.<br>Prope EDR140124, EDR140125, EDR140146"
"EDR140132";"Textus secundum (2), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer (HGP) a. 2014. <br>v. 1: MAM(IUS?) apud (1) "
"EDR140135";"Textus secundum (3-4), aliter (1-2); contulerunt et mensuras prehenderunt Beall, Bey IV, Mccrory, Opdenhoff, Tomasi, Zimmermann Damer (HGP) a. 2014.<br>v. 1: SPIRET (1), SITIET (2), SAPIET (3-4)<br>v. 1: litterae nunc valde abrasae sunt (HGP a. 2016)"
"EDR140136";"Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, et Lundquist a. 2014.<br>Infra EDR140055 et prope EDR140246"
"EDR140140";"Textus secundum (1), contulerunt et mensuras prehenderunt Loar, Liu, Lundquist, Clikeman, King (HGP) a. 2014.<br>v. 1: Litterae Q et T paene evanuerunt."
"EDR140143";"Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, Lundquist (HGP) a. 2014.<br>v. 1: ultima TA nunc valde evanuerunt (HGP a. 2016).<br>Prope EDR140149"
"EDR140148";"Textus secundum (1), contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, et Lundquist a. 2014."
"EDR140165";"Textus secundum (1)<br>v. 1-3: Della Corte apud (1): Am(andus?)/ Surus/ Ianua(ri) va(le)"
"EDR140171";"Textus et mensurae secundum (1); periit.<br>Contulerunt et non invenerunt Brewer, Benefiel, Helms, Sypniewsk (HGP) a. 2016.<br>v. 1-2: Della Corte apud (1): Saturnina[e]/ matr(i) uncus (detur?)<br>v. 1: lat.: 23,6; litt. alt.: 2,9-6,7<br>v. 2: lat.: 19,6; litt. alt.: 1,7-4,5<br>v. 3: lat.: 9,2; litt. alt.: 2,5-5,0"
"EDR140177";"Textus et mensurae secundum (1), periit. <br>Contulerunt et non invenerunt Helms, Hicks, Nyhuis, Rasmussen, Rebman (HGP) a. 2014.<br>v. 1: lat.: 47,6; litt. alt.: 4,0-16,0<br>v. 2: lat.: 23,2; litt. alt.: 2,1-5,0<br>Prope EDR140173 et EDR140176"
